Name,Rank,Tier,Pos,Team
"Jakobi Meyers",91,8,WR,JAX
"Tua Tagovailoa",92,8,QB,ATL
"Jauan Jennings",93,8,WR,MIN
"Quentin Johnston",94,8,WR,LAC
"DJ Moore",95,8,WR,BUF
"Quinshon Judkins",96,8,RB,CLE
"David Montgomery",97,9,RB,HOU
"Khalil Shakir",98,9,WR,BUF
"Romeo Doubs",99,9,WR,NE
"Colston Loveland",100,9,TE,CHI
"Tyler Shough",101,9,QB,NO
"Tre Tucker",102,9,WR,LV
"George Kittle",103,9,TE,SF
"Tyrone Tracy",104,9,RB,NYG
"Joe Flacco",105,9,QB,CIN
"Rashid Shaheed",106,9,WR,SEA
"Woody Marks",107,9,RB,HOU
"Rashee Rice",108,9,WR,KC
"AJ Barner",109,10,TE,SEA
"Kyle Monangai",110,10,RB,CHI
"Rome Odunze",111,10,WR,CHI
"Justin Fields",112,10,QB,KC
"Rachaad White",113,10,RB,WAS
"Jacory Croskey-Merritt",114,10,RB,WAS
"Joe Burrow",115,10,QB,CIN
"Brian Thomas",116,10,WR,JAX
"Bucky Irving",117,10,RB,TB
"Marquise Brown",118,10,WR,PHI
"J.J. McCarthy",119,10,QB,MIN
"Josh Downs",120,10,WR,IND
"Mac Jones",121,11,QB,SF
"Omarion Hampton",122,11,RB,LAC
"Jordan Addison",123,11,WR,MIN
"Marcus Mariota",124,11,QB,WAS
"Christian Watson",125,11,WR,GB
"Oronde Gadsden",126,11,TE,LAC
"Mark Andrews",127,11,TE,BAL
"Colby Parkinson",128,11,TE,LAR
"Jayden Higgins",129,11,WR,HOU
"Jordan Mason",130,11,RB,MIN
"Luther Burden",131,11,WR,CHI
"Theo Johnson",132,11,TE,NYG
"Marvin Harrison",133,12,WR,ARI
"Cam Skattebo",134,12,RB,NYG
"Dalton Kincaid",135,12,TE,BUF
"Chimere Dike",136,12,WR,TEN
"Chuba Hubbard",137,12,RB,CAR
"Kayshon Boutte",138,12,WR,NE
"Chig Okonkwo",139,12,TE,WAS
"Michael Penix",140,12,QB,ATL
"Tyler Allgeier",141,12,RB,ARI
"Cade Otton",142,12,TE,TB
"Blake Corum",143,12,RB,LAR
"Jerry Jeudy",144,12,WR,CLE
"Aaron Jones",145,13,RB,MIN
"Brenton Strange",146,13,TE,JAX
"Kimani Vidal",147,13,RB,LAC
"Cooper Kupp",148,13,WR,SEA
"Jayden Daniels",149,13,QB,WAS
"Tucker Kraft",150,13,TE,GB
